Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CtG7A.1,2031,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Trajectory,Aboriginal and Torres Strait Islander people,,15-24 years old,,,Derived from ABS (unpublished) Census of Population and Housing,%,..,..,..,..,..,..,..,..,67
CtG7A.1,2031,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Linear regression estimates,Aboriginal and Torres Strait Islander people,,15-24 years old,,,ABS (unpublished) Census of Population and Housing,%,62.6,65.7,63.4,56.2,51.2,65.1,75.8,24.5,59.7
CtG7A.1,2026,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Trajectory,Aboriginal and Torres Strait Islander people,,15-24 years old,,,Derived from ABS (unpublished) Census of Population and Housing,%,..,..,..,..,..,..,..,..,63.7
CtG7A.1,2026,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Linear regression estimates,Aboriginal and Torres Strait Islander people,,15-24 years old,,,ABS (unpublished) Census of Population and Housing,%,62.3,65.6,60.7,54.6,53.4,64.2,75.1,29.7,58.9
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,62,65.5,58.1,53.1,55.5,63.3,74.4,34.8,58
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,80.2,81.6,77.9,79.8,78.1,73.9,85.6,80.6,79.9
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,29599,7380,23722,7666,4028,3208,1304,3602,80516
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,654615,576078,415796,217920,146665,37909,47098,12601,2108895
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Unknown Indigenous status,All areas,Young people fully engaged in employment; education or training,Actual,Indigenous status not stated,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,2279,1830,1492,702,586,254,83,75,7300
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,People counted in the Census,Actual,Aboriginal and Torres Strait Islander people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,47729,11267,40860,14447,7260,5069,1753,10342,138758
CtG7A.1,2021,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,All people,Non-Indigenous people,All areas,People counted in the Census,Actual,Non-Indigenous people,,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,816587,706270,533472,273071,187898,51275,54989,15632,2639491
